"artists","keyword","playlist_id","playlist_name","playlist_owner","popularity","track_id","track_name"
[u'Tracy Chapman'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,77,2M9ro2krNb7nr7HSprkEgo,Fast Car
[u'Melissa Etheridge'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,53,4veE1jrMbVSy9FRCiYDGkD,I'm The Only One
[u'Jonathan Richman'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,26,4nzURvsE5BKb0wAwetS3M3,I Was Dancing In The Lesbian Bar
[u'Tegan and Sara'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,0,3vxZcawC4daxdZ1e1mczeD,Nineteen
[u'Sleater-Kinney'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,45,2TV1CEAFvQiiLhqxUOCQnC,Modern Girl
[u'Jens Lekman'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,7,0oBOWrr9DEzUciRulaLfNJ,A Postcard to Nina
[u'Indigo Girls'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,47,1Q0DVZhtZJZs9t45b8zNSD,Galileo
[u'Liz Phair'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,0,4gxmazaY8k5nDORMeL9dc1,Girls! Girls! Girls!
[u'Melissa Ferrick'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,15,3OkRTNAQASfOxXt7zEstUK,Drive
[u'k.d. lang'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,14,59kSCIgZ0WFSdXzXCs6KgN,Constant Craving
[u'Ani Difranco'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,0,57RddpbPMFxeR20eonC0gH,In or Out
[u'Patti Smith'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,35,6eisGT6VfhqbjT35pshOdN,Gloria - Digitally Remastered 1996
[u'The Butchies'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,0,6GAEmtZrPuqj15DA9ckNdL,She's So Lovely
[u'Cyndi Lauper'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,0,0sIk8fruA5B3Evgqlt45ir,When You Were Mine
[u'Yelle'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,33,5TnHQX4kZylRUcL9L6CJ4o,Les femmes
[u'Brandi Carlile'],lesbian,5lzMbU16Pm7F8zEiz0cFsJ,Lesbian Music,1240297469,43,2IjAfjpkHB1KcQHn5zqzdv,Josephine
